variable,coeficiente,magnitud
market_6,-1.088835237258682,1.088835237258682
n_lineas,1.0500107545162722,1.0500107545162722
chain_306,0.9701541941059689,0.9701541941059689
chain_166,0.940608471996208,0.940608471996208
chain_278,-0.9067801303107572,0.9067801303107572
chain_240,-0.8511749604934641,0.8511749604934641
lineas_por_30d,-0.8454715050030358,0.8454715050030358
chain_48,-0.8372268154924511,0.8372268154924511
chain_8,-0.6208825502405282,0.6208825502405282
category_9909,0.578355347975929,0.578355347975929
chain_104,-0.566659015189196,0.566659015189196
market_96,0.565036332246133,0.565036332246133
category_1703,-0.5527216704024244,0.5527216704024244
brand_7668,-0.5257870578580437,0.5257870578580437
company_107127979,0.5225790642263738,0.5225790642263738
brand_6732,0.5225790642263738,0.5225790642263738
chain_169,-0.4801139723183679,0.4801139723183679
chain_508,-0.4529133985441373,0.4529133985441373
n_compras_marca,-0.44637102069708856,0.44637102069708856
company_105100050,-0.421665659104654,0.421665659104654
brand_13791,-0.421665659104654,0.421665659104654
category_4401,-0.421665659104654,0.421665659104654
chain_18,0.41894226749069763,0.41894226749069763
chain_15,0.40809881684959787,0.40809881684959787
brand_3718,0.4036873049111922,0.4036873049111922
category_2202,0.4036873049111922,0.4036873049111922
chain_134,-0.39868071887405426,0.39868071887405426
gasto_producto,0.3786709388938165,0.3786709388938165
n_marcas_distintas,-0.36190598932845713,0.36190598932845713
n_compras,0.3585278014841961,0.3585278014841961
chain_100,-0.3574731190001638,0.3574731190001638
chain_377,0.35726085364699217,0.35726085364699217
antiguedad_dias,-0.34849011646403133,0.34849011646403133
n_companias_distintas,0.3303707818683242,0.3303707818683242
chain_293,-0.3257517637743026,0.3257517637743026
chain_63,0.3250270681469598,0.3250270681469598
gasto_marca,0.32233145007629765,0.32233145007629765
chain_23,0.31408814142655583,0.31408814142655583
chain_507,-0.30948328709027717,0.30948328709027717
chain_373,0.30928143183849865,0.30928143183849865
chain_24,0.30649630827316626,0.30649630827316626
chain_88,0.3052262599718143,0.3052262599718143
market_93,0.2954381660966981,0.2954381660966981
market_33,-0.29500033104119916,0.29500033104119916
chain_233,0.28871440477812654,0.28871440477812654
chain_184,-0.2704412260070391,0.2704412260070391
chain_4,0.26238825354131884,0.26238825354131884
market_9,-0.25879038439544705,0.25879038439544705
chain_285,-0.2579629720450229,0.2579629720450229
market_18,0.24774322166984958,0.24774322166984958
n_categorias_distintas,-0.2468595630261002,0.2468595630261002
category_infrequent_sklearn,0.24187980095854908,0.24187980095854908
company_infrequent_sklearn,0.24187980095854908,0.24187980095854908
brand_infrequent_sklearn,0.24187980095854908,0.24187980095854908
chain_510,-0.23606692496982298,0.23606692496982298
market_2,-0.2323065044851195,0.2323065044851195
chain_2,0.23223836435880604,0.23223836435880604
chain_68,0.22024479372418654,0.22024479372418654
chain_509,-0.21811971646342027,0.21811971646342027
chain_180,0.20976852216291486,0.20976852216291486
market_28,0.20529502672108185,0.20529502672108185
chain_77,0.19644332768916623,0.19644332768916623
chain_241,-0.1933300386282206,0.1933300386282206
market_14,-0.1906255981381499,0.1906255981381499
chain_64,0.18907758846290323,0.18907758846290323
brand_875,-0.1890147760885918,0.1890147760885918
company_103320030,-0.1890147760885918,0.1890147760885918
category_3509,-0.1890147760885918,0.1890147760885918
chain_205,-0.1819727056766135,0.1819727056766135
ticket_promedio,0.17952886252303038,0.17952886252303038
category_3504,0.17628588582339924,0.17628588582339924
market_8,0.17411430924104926,0.17411430924104926
chain_83,0.17411091093210204,0.17411091093210204
chain_3,0.173987865182714,0.173987865182714
market_11,-0.1737497213934768,0.1737497213934768
chain_101,0.16978743888392145,0.16978743888392145
chain_143,0.16866377549403772,0.16866377549403772
chain_85,0.16437800629106103,0.16437800629106103
n_compras_producto,-0.16256371489383642,0.16256371489383642
compras_por_visita,-0.1609960371215704,0.1609960371215704
market_1,-0.1508264332224909,0.1508264332224909
category_1726,-0.1493512732784423,0.1493512732784423
chain_224,-0.14850256741311194,0.14850256741311194
chain_71,-0.1483015503525755,0.1483015503525755
offervalue,-0.14653889477099688,0.14653889477099688
